カード情報																	
string Node Prefix	string フルネーム	string レベル	string 年齢	string 身長	string 体重	string 職業	string スキル	string コメント１	string コメント２	string コメント３	string コメント４	string コメント５	string 同種カード.values	string 関連カード.values	string 説明１	string 説明２	string 説明３
魔物 スカイ目玉	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	ｘｘ	"\"""			
魔物 ダイコン役者	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	ｘｘ	"\"""			
魔物 さけび男	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	ｘｘ	"\"""			
魔物 アイロンヘッド	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	ｘｘ	"\"""			
魔物 オッズ	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	ｘｘ	"\"""			
魔物 サイクロナイト	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	ｘｘ	"\"""			
魔物 ノーススラッグ	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	ｘｘ	"\"""			
魔物 ナイトホラー	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	ｘｘ	"\"""			
魔物 ラブミーテンダー	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	ｘｘ	"\"""			
魔物 ポリザウルス	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	ｘｘ	"\"""			
魔物 マグボール	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	ｘｘ	"\"""			
魔物 ぬぼぼ	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	ｘｘ	"\"""			
魔物 フライング甘食	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	ｘｘ	"\"""			
魔物 おかゆフィーバー	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	ｘｘ	"\"""			
魔物 首狩りマサオ	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	ｘｘ	"\"""			
魔物 ストーンＧ	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	ｘｘｘ	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	１２３４５６７８９０１２３４５６７８９０１２３４５６	ｘｘ	"\"""			
魔物兵１号	青色魔物兵	？？	ｘｘｘ	２００ｃｍ	１５０ｋｇ	魔物兵	？？	青色魔物スーツを着用した魔物兵	緑とは違うのだよ緑とは	"\"""	"\"""	"\"""	魔物兵１号	"\"""			
魔物兵２号	赤色魔物兵	？？	ｘｘｘ	２００ｃｍ	１５０ｋｇ	魔物兵	？？	赤色魔物スーツを着用した魔物兵	ほかの魔物兵より少し偉い	３倍くらい偉い	"\"""	"\"""	魔物兵２号	"\"""			
魔物兵３号	魔物兵３号	？？	ｘｘｘ	２００ｃｍ	１５０ｋｇ	魔物兵	？？	飛行魔物スーツを着用した魔物兵	飛べるタイプの魔物が着用することで	飛行能力が安定する。	"\"""	"\"""	魔物兵３号	"\"""			
魔物兵４号	魔物兵４号	？？	ｘｘｘ	２００ｃｍ	１５０ｋｇ	魔物兵	？？	魔法魔物兵スーツを着用した魔物兵	"\"""	もちろん中身はメイジマンやマジスコだ	"\"""	"\"""	魔物兵４号	"\"""			
魔物 キバオー	キバオー	？？	ｘｘｘ	１５０ｃｍ	７０ｋｇ	次世代魔物	"\"""	命の聖女モンスターウェンリーナーが	ランスの遺伝子を取り込んで生み出した魔物	"\"""	こうみえて優しい	"\"""	魔物 キバオー	聖女 ウェンリーナー			
魔物 ハンマーン	ハンマーン	？？	ｘｘｘ	８８ｃｍ	８８ｋｇ	次世代魔物	"\"""	大地の聖女モンスターハウセスナースが	ランスの遺伝子を取り込んで生み出した魔物	"\"""	リーダー気質の男前	"\"""	魔物 ハンマーン	聖女 ハウセスナース			
魔物 ホワイトサタン	ホワイトサタン	？？	ｘｘｘ	１２０ｃｍ	４０ｋｇ	次世代魔物	"\"""	時の聖女モンスターセラクロラスが	ランスの遺伝子を取り込んで生み出した魔物	"\"""	感受性豊かな芸術家肌	"\"""	魔物 ホワイトサタン	聖女 セラクロラス			
魔物 キレキレタコラ	キレキレタコラ	？？	ｘｘｘ	７５ｃｍ	２０ｋｇ	次世代魔物	"\"""	力の聖女モンスターベゼルアイが	ランスの遺伝子を取り込んで生み出した魔物	"\"""	暴れん坊だがやるときはやる	"\"""	魔物 キレキレタコラ	聖女 ベゼルアイ			
使徒 ルーシー	使徒ルーシー・ジュリエッタ	１８	９００歳以上	１２０ｃｍ	？？	ゼス永久客人	"\"""	長き時を生きる占い師の少女	ゼス建国者パセリの友人として	国家建立に尽力した	"\"""	駄菓子大好き	使徒 ルーシー	使徒 アーシー			
													全裸 ルーシー	使徒 マーシー			
														英霊 パセリ			
全裸 ルーシー	使徒ルーシー・ジュリエッタ	１８	９００歳以上	１２０ｃｍ	？？	ゼス永久客人	"\"""	魔人バークスハムの使徒	約５００年前に、魔王の後継者を探す任務を受けて	大陸南部に赴任した	"\"""	"\"""	使徒 ルーシー	使徒 アーシー			
													全裸 ルーシー	使徒 マーシー			
														英霊 パセリ			
使徒 アーシー	使徒アーシー・ジュリエッタ	２２	９００歳以上	１２０ｃｍ	？？	占い師	"\"""	各地を放浪する伝説の占い師	主にリーザスから自由都市に現れる	"\"""	占いの的中率は１００％	代価は美味しいお菓子	使徒 アーシー	使徒 ルーシー			
													全裸 アーシー	使徒 マーシー			
全裸 アーシー	使徒アーシー・ジュリエッタ	２２	９００歳以上	１２０ｃｍ	？？	占い師	"\"""	魔人バークスハムの使徒	約５００年前に、魔王の後継者を探す任務を受けて	大陸東部に赴任した	"\"""	"\"""	使徒 アーシー	使徒 ルーシー			
